id,city_id,location_id,camera_id,time,lat,lon,lane,speed
7f3e4a46-f442-ee5d-7fa8-85547ed1f8f9,2,781,5779,12/10/2022 18:00,43.214086,76.898003,1,16
91f6b5ca-b552-289e-ff0c-3ceb806ec8c1,2,780,4571,12/10/2022 18:00,43.199581,76.894464,2,40
876981b5-0705-3cb8-336e-f9ca112dc175,2,337,1724,12/10/2022 18:00,43.24417,76.915991,1,22
086276bb-e2f1-1c93-b259-6f05a4ec2e11,2,2,420,12/10/2022 18:00,43.238362,76.889989,3,1
29f807e4-6af0-89c8-76b1-6def83941e6c,2,741,4553,12/10/2022 18:00,43.237604,76.934758,3,3
2f591edd-db80-2b35-184f-fdb8de4cc0f3,2,334,1695,12/10/2022 17:59,43.235258,76.90451,3,6
2ed77205-553a-b17c-d2e3-620dca1478a2,2,285,1378,12/10/2022 17:59,43.203173,76.86691,1,16
ab9cc5d3-bbd8-1ab5-ce34-d1133482c25a,2,802,4429,12/10/2022 17:59,43.241658,76.93755,2,34
f13686df-deea-f7ff-28cc-ed1e33d19a1b,2,781,5779,12/10/2022 17:59,43.214086,76.898003,2,20
8e245e42-69a3-f29a-ca4a-fec650372aa7,2,780,4571,12/10/2022 17:59,43.199581,76.894464,2,10
b666cbca-655e-051d-52b2-17e88d909a1b,2,337,1724,12/10/2022 17:59,43.24417,76.915991,3,4
f2358ef0-2133-d3ab-642a-9c8b81cd24c0,2,2,420,12/10/2022 17:59,43.238362,76.889989,2,4
46e7ccb9-a965-e416-ea3d-19fa5b1aad83,2,741,4553,12/10/2022 17:59,43.237604,76.934758,1,25
29ccd7fb-faaf-8a7f-dfa6-065a1552925e,2,334,1695,12/10/2022 17:59,43.235258,76.90451,2,26
baad29a4-1496-47d7-fa30-d5f0bbffc4ec,2,285,1378,12/10/2022 17:59,43.203173,76.86691,3,38
04b5f9bf-5db4-5413-e7e6-32a9887af1ca,2,802,4429,12/10/2022 17:59,43.241658,76.93755,3,26
2bfe86a1-307b-689f-862c-d744db7a41f3,2,9,450,12/10/2022 17:59,43.212825,76.920813,1,12
50340601-ab66-af01-9cd7-0b6ff6e468f0,2,781,5779,12/10/2022 17:59,43.214086,76.898003,1,0
5cd7b78f-f428-cf11-a662-50f2d93c7d35,2,780,4571,12/10/2022 17:59,43.199581,76.894464,2,25
0a05dd6f-d750-2d58-5f03-77a15db4dd2d,2,337,1724,12/10/2022 17:59,43.24417,76.915991,2,14
f787bca2-02db-e48d-2505-718e4a162d39,2,2,420,12/10/2022 17:59,43.238362,76.889989,2,29
6f51a6d6-ae90-8856-edc8-6df909518fde,2,741,4553,12/10/2022 17:59,43.237604,76.934758,3,38
df1f1ebe-0da2-869b-321a-af558f06004e,2,334,1695,12/10/2022 17:59,43.235258,76.90451,1,30
54e48995-e0e5-4513-265d-ce4c4ce0db98,2,285,1378,12/10/2022 17:59,43.203173,76.86691,2,31
f984f222-6d86-3099-fe43-957ba3319bed,2,337,1724,12/10/2022 17:59,43.24417,76.915991,1,4
ad32ef0b-b7ee-24b2-08a0-365f65e3f431,2,802,4429,12/10/2022 17:59,43.241658,76.93755,3,16
8a993ebb-27e2-0513-990d-a592c13b888d,2,9,450,12/10/2022 17:59,43.212825,76.920813,2,34
0917ea38-ff63-ebee-6b9d-3b6f3fe303ae,2,781,5779,12/10/2022 17:59,43.214086,76.898003,3,39
9082b96a-ec45-be8f-3074-edd5df5526d0,2,780,4571,12/10/2022 17:59,43.199581,76.894464,1,12
b2075a5a-8ea0-f180-1c3d-367087f5dc22,2,2,420,12/10/2022 17:59,43.238362,76.889989,1,23
29abe9ee-d3d9-51fd-0032-2c1071555ce1,2,741,4553,12/10/2022 17:59,43.237604,76.934758,1,30
cb9b10a4-88d0-76ab-8daf-9c555d49d8f1,2,334,1695,12/10/2022 17:59,43.235258,76.90451,2,21
15b5513a-182e-c41e-129f-297a8e00adca,2,285,1378,12/10/2022 17:59,43.203173,76.86691,3,14
9402504c-45fe-944d-efc3-f87e03654ab6,2,802,4429,12/10/2022 17:59,43.241658,76.93755,3,8
15c36a1e-90dd-0dca-2c2e-2f2c0cd57671,2,9,450,12/10/2022 17:59,43.212825,76.920813,3,19
9c17353f-ab52-bd04-27cb-281e936e6ffb,2,781,5779,12/10/2022 17:59,43.214086,76.898003,2,17
